x,y,surface
0.0,0.0,upper
0.00024672,0.00138956,upper
0.00098664,0.00275974,upper
0.00221902,0.00410998,upper
0.00394265,0.0054396,upper
0.00615583,0.00674781,upper
0.00885637,0.00803366,upper
0.01204162,0.00929613,upper
0.01570842,0.01053406,upper
0.01985316,0.0117462,upper
0.02447174,0.01293124,upper
0.02955962,0.01408776,upper
0.03511176,0.01521432,upper
0.04112269,0.01630939,upper
0.04758647,0.01737145,upper
0.05449674,0.01839894,upper
0.06184666,0.01939031,upper
0.06962899,0.02034402,upper
0.07783604,0.02125856,upper
0.08645971,0.02213245,upper
0.0954915,0.02296431,upper
0.10492249,0.02375278,upper
0.11474338,0.02449662,upper
0.12494447,0.02519467,upper
0.13551569,0.02584589,upper
0.14644661,0.02644935,upper
0.15772645,0.02700426,upper
0.16934407,0.02750995,upper
0.18128801,0.0279659,upper
0.19354647,0.02837173,upper
0.20610737,0.02872722,upper
0.21895831,0.02903228,upper
0.2320866,0.02928699,upper
0.24547929,0.02949159,upper
0.25912316,0.02964644,upper
0.27300475,0.02975207,upper
0.28711035,0.02980914,upper
0.30142605,0.02981845,upper
0.31593772,0.02978093,upper
0.33063104,0.02969762,upper
0.3454915,0.0295697,upper
0.36050445,0.02939842,upper
0.37565506,0.02918516,upper
0.39092838,0.02893136,upper
0.40630934,0.02863856,upper
0.42178277,0.02830833,upper
0.43733338,0.02794234,upper
0.45294584,0.02754227,upper
0.46860474,0.02710987,upper
0.48429462,0.0266469,upper
0.5,0.02615513,upper
0.51570538,0.02563636,upper
0.53139526,0.02509239,upper
0.54705416,0.02452502,upper
0.56266662,0.02393604,upper
0.57821723,0.02332722,upper
0.59369066,0.02270032,upper
0.60907162,0.02205709,upper
0.62434494,0.02139923,upper
0.63949555,0.02072843,upper
0.6545085,0.02004636,upper
0.66936896,0.01935466,upper
0.68406228,0.01865492,upper
0.69857395,0.01794873,upper
0.71288965,0.01723764,upper
0.72699525,0.01652319,upper
0.74087684,0.01580687,upper
0.75452071,0.01509018,upper
0.7679134,0.01437458,upper
0.78104169,0.01366152,upper
0.79389263,0.01295243,upper
0.80645353,0.01224873,upper
0.81871199,0.01155184,upper
0.83065593,0.01086314,upper
0.84227355,0.01018404,upper
0.85355339,0.0095159,upper
0.86448431,0.0088601,upper
0.87505553,0.00821799,upper
0.88525662,0.00759094,upper
0.89507751,0.00698027,upper
0.9045085,0.00638732,upper
0.91354029,0.00581339,upper
0.92216396,0.00525976,upper
0.93037101,0.00472771,upper
0.93815334,0.00421846,upper
0.94550326,0.00373324,upper
0.95241353,0.00327319,upper
0.95887731,0.00283946,upper
0.96488824,0.00243311,upper
0.97044038,0.00205519,upper
0.97552826,0.00170666,upper
0.98014684,0.00138842,upper
0.98429158,0.00110132,upper
0.98795838,0.00084612,upper
0.99114363,0.00062351,upper
0.99384417,0.0004341,upper
0.99605735,0.00027841,upper
0.99778098,0.00015686,upper
0.99901336,6.98e-05,upper
